1.0.0.0,1.255.255.255
14.0.0.0,14.255.255.255
27.0.0.0,27.255.255.255
36.0.0.0,36.255.255.255
39.0.0.0,39.255.255.255
42.0.0.0,42.255.255.255
43.0.0.0,43.255.255.255
45.0.0.0,45.255.255.255
49.0.0.0,49.255.255.255
58.0.0.0,58.255.255.255
59.0.0.0,59.255.255.255
60.0.0.0,60.255.255.255
61.0.0.0,61.255.255.255
101.0.0.0,101.255.255.255
103.0.0.0,103.255.255.255
106.0.0.0,106.255.255.255
110.0.0.0,110.255.255.255
111.0.0.0,111.255.255.255
112.0.0.0,112.255.255.255
113.0.0.0,113.255.255.255
114.0.0.0,114.255.255.255
115.0.0.0,115.255.255.255
116.0.0.0,116.255.255.255
117.0.0.0,117.255.255.255
118.0.0.0,118.255.255.255
119.0.0.0,119.255.255.255
120.0.0.0,120.255.255.255
121.0.0.0,121.255.255.255
122.0.0.0,122.255.255.255
123.0.0.0,123.255.255.255
124.0.0.0,124.255.255.255
125.0.0.0,125.255.255.255
126.0.0.0,126.255.255.255
133.0.0.0,133.255.255.255
139.0.0.0,139.255.255.255
140.0.0.0,140.255.255.255
144.0.0.0,144.255.255.255
147.0.0.0,147.255.255.255
150.0.0.0,150.255.255.255
152.0.0.0,152.255.255.255
153.0.0.0,153.255.255.255
157.0.0.0,157.255.255.255
160.0.0.0,160.255.255.255
163.0.0.0,163.255.255.255
175.0.0.0,175.255.255.255
180.0.0.0,180.255.255.255
182.0.0.0,182.255.255.255
183.0.0.0,183.255.255.255
192.0.0.0,192.255.255.255
198.0.0.0,198.255.255.255
202.0.0.0,202.255.255.255
203.0.0.0,203.255.255.255
210.0.0.0,210.255.255.255
211.0.0.0,211.255.255.255
218.0.0.0,218.255.255.255
220.0.0.0,220.255.255.255
221.0.0.0,221.255.255.255
222.0.0.0,222.255.255.255
223.0.0.0,223.255.255.255
